Champion,wr,wrdelta,rankwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank,wrdiff
Aurora,48.75,0.14,50.38,2.92,2.25,-5.0,-3.0674846625766823,middle lane,58990,PLATINUM,-1.6300000000000026
Wukong,49.78,0.11,50.38,2.09,0.44,-1.0,-1.6666666666666627,jungle lane,42364,PLATINUM,-0.6000000000000014
Renekton,50.03,0.21,50.38,5.01,3.32,-2.0,-5.714285714285691,top lane,101354,PLATINUM,-0.3500000000000014
Cassiopeia,48.81,0.38,50.38,1.04,0.98,-2.0,-1.273885350318471,middle lane,21138,PLATINUM,-1.5700000000000003
Yuumi,48.97,0.25,50.38,4.61,4.86,-7.0,-4.964539007092186,support lane,93364,PLATINUM,-1.4100000000000037
Galio,48.89,0.43,50.38,2.66,1.29,-4.0,-2.6845637583892583,middle lane,53906,PLATINUM,-1.490000000000002
Rumble,48.31,0.03,50.38,2.11,0.90,-4.0,-1.9323671497584538,top lane,42729,PLATINUM,-2.0700000000000003
Quinn,49.58,0.58,50.38,1.17,1.06,-1.0,-1.2499999999999933,top lane,23750,PLATINUM,-0.8000000000000043
Kassadin,48.89,-0.04,50.38,1.63,1.28,-2.0,-1.3422818791946292,middle lane,32949,PLATINUM,-1.490000000000002
Ryze,47.86,0.13,50.38,2.60,0.62,-7.0,-2.777777777777774,middle lane,52525,PLATINUM,-2.520000000000003
K'Sante,47.26,0.16,50.38,2.86,1.72,-9.0,-2.8846153846153806,top lane,57952,PLATINUM,-3.1200000000000045
Gragas,48.29,0.19,50.38,1.99,0.53,-4.0,-1.9138755980861213,top lane,40265,PLATINUM,-2.0900000000000034
Trundle,49.76,1.05,50.38,1.55,0.49,-1.0,-1.6129032258064397,top lane,31461,PLATINUM,-0.6200000000000045
Kennen,47.27,0.27,50.38,1.92,1.52,-6.0,-1.929260450160772,top lane,38770,PLATINUM,-3.1099999999999994
Mel,46.58,0.7,50.38,4.32,33.14,-25.0,-6.578947368421045,middle lane,87391,PLATINUM,-3.8000000000000043
Azir,45.87,-0.14,50.38,1.83,0.35,-8.0,-1.7738359201773817,middle lane,37024,PLATINUM,-4.510000000000005
Gnar,48.56,0.12,50.38,3.21,1.05,-6.0,-3.296703296703296,top lane,65035,PLATINUM,-1.8200000000000003
Seraphine,53.05,0.4,50.19,11.68,5.75,35.0,12.23776223776224,support lane,266679,GOLD,2.8599999999999994
Smolder,54.78,-0.19,50.19,16.51,11.81,86.0,18.73638344226578,bottom lane,376972,GOLD,4.590000000000003
Naafiri,51.01,-0.1,50.19,5.97,25.12,7.0,8.536585365853655,jungle lane,136249,GOLD,0.8200000000000003
Kayn,51.37,0.38,50.19,9.44,5.73,12.0,10.169491525423732,jungle lane,215420,GOLD,1.1799999999999997
Zed,50.53,0.1,50.19,8.97,27.00,4.0,11.764705882352823,middle lane,204829,GOLD,0.3400000000000034
Nami,52.07,0.03,50.19,8.33,2.26,16.0,8.51063829787233,support lane,190129,GOLD,1.8800000000000026
Xin Zhao,50.7,0.27,50.19,7.60,5.39,4.0,7.843137254901882,jungle lane,173557,GOLD,0.5100000000000051
Soraka,51.82,-0.33,50.19,4.35,2.44,7.0,4.294478527607355,support lane,99412,GOLD,1.6300000000000026
Singed,53.35,0.03,50.19,2.40,1.05,8.0,2.5316455696202502,top lane,54856,GOLD,3.1600000000000037
Xerath,52.94,-0.01,50.19,5.19,12.01,16.0,5.818181818181818,middle lane,118422,GOLD,2.75
Jinx,51.33,0.35,50.19,12.72,4.42,15.0,13.157894736842099,bottom lane,290296,GOLD,1.1400000000000006
Vladimir,50.96,-0.07,50.19,3.61,3.56,3.0,3.89610389610388,middle lane,82376,GOLD,0.7700000000000031
Thresh,50.2,0.07,50.19,10.25,4.51,0.0,0.0,support lane,234096,GOLD,0.010000000000005116
Irelia,50.28,-0.12,50.19,3.69,11.95,0.0,0.0,top lane,84133,GOLD,0.09000000000000341
Viego,50.09,0.12,50.19,9.62,9.99,-1.0,-10.000000000000568,jungle lane,219661,GOLD,-0.09999999999999432
Milio,52.45,-0.33,50.19,4.99,3.32,12.0,5.309734513274324,support lane,113901,GOLD,2.260000000000005
Garen,52.74,0.4,50.19,10.06,10.59,29.0,11.372549019607824,top lane,229678,GOLD,2.5500000000000043
Shyvana,54.11,0.07,50.19,7.97,10.79,35.0,8.928571428571425,jungle lane,181850,GOLD,3.9200000000000017
Ahri,50.26,0.24,50.19,9.55,4.45,1.0,14.285714285714228,middle lane,218118,GOLD,0.07000000000000028
Olaf,51.13,0.32,50.19,2.13,1.92,2.0,2.127659574468074,top lane,48580,GOLD,0.9400000000000048
Master Yi,50.46,0.67,50.19,9.61,18.88,3.0,11.111111111110983,jungle lane,219443,GOLD,0.2700000000000031
Sona,52.43,0.27,50.19,2.85,0.27,6.0,2.678571428571426,support lane,64949,GOLD,2.240000000000002
Nocturne,52.49,0.19,50.19,9.32,16.69,26.0,11.304347826086936,jungle lane,212845,GOLD,2.3000000000000043
Ekko,50.69,0.36,50.19,3.02,1.80,2.0,4.0,middle lane,69013,GOLD,0.5
Jarvan IV,50.23,-0.17,50.19,4.78,0.89,0.0,0.0,jungle lane,109050,GOLD,0.03999999999999915
Rell,51.11,0.12,50.19,2.36,0.80,2.0,2.1739130434782568,support lane,53772,GOLD,0.9200000000000017
Ashe,51.3,0.26,50.19,16.36,9.40,20.0,18.018018018018026,bottom lane,373587,GOLD,1.1099999999999994
Lux,50.83,0.73,50.19,12.76,12.83,9.0,14.062499999999988,support lane,291352,GOLD,0.6400000000000006
Lissandra,50.69,-0.37,50.19,3.72,2.17,2.0,4.0,middle lane,84997,GOLD,0.5
Vel'Koz,51.42,0.06,50.19,3.18,1.69,4.0,3.2520325203251925,support lane,72697,GOLD,1.230000000000004
Briar,52.7,0.12,50.19,6.10,14.66,18.0,7.171314741035842,jungle lane,139278,GOLD,2.510000000000005
Samira,51.02,0.34,50.19,6.01,11.56,6.0,7.2289156626505555,bottom lane,137289,GOLD,0.8300000000000054
Yone,50.48,0.29,50.19,7.51,7.43,2.0,6.896551724137951,middle lane,171356,GOLD,0.28999999999999915
Janna,51.73,-0.3,50.19,1.63,0.22,3.0,1.9480519480519491,support lane,37191,GOLD,1.5399999999999991
Sion,51.47,-0.1,50.19,3.92,1.30,5.0,3.9062499999999964,top lane,89566,GOLD,1.2800000000000011
Zyra,51.44,0.16,50.19,4.63,4.57,6.0,4.8,support lane,105733,GOLD,1.25
Diana,51.21,0.28,50.19,4.14,5.57,4.0,3.9215686274509682,middle lane,94494,GOLD,1.0200000000000031
Warwick,52.9,0.67,50.19,6.44,5.73,19.0,7.011070110701104,jungle lane,147126,GOLD,2.710000000000001
Vayne,50.08,0.01,50.19,8.04,12.49,-1.0,-9.090909090909138,bottom lane,183594,GOLD,-0.10999999999999943
Leona,51.46,0.5,50.19,7.78,9.89,11.0,8.661417322834625,support lane,177722,GOLD,1.2700000000000031
Kayle,51.65,0.27,50.19,3.34,2.84,5.0,3.4246575342465735,top lane,76232,GOLD,1.4600000000000009
Blitzcrank,50.16,0.57,50.19,5.21,14.15,0.0,0.0,support lane,118963,GOLD,-0.030000000000001137
Graves,49.8,-0.02,50.19,8.56,7.73,-4.0,-10.256410256410241,jungle lane,195491,GOLD,-0.39000000000000057
Jax,50.06,0.29,50.19,5.25,9.49,-1.0,-7.692307692307962,top lane,119777,GOLD,-0.12999999999999545
Zilean,51.49,-0.05,50.19,1.74,0.67,2.0,1.5384615384615334,support lane,39718,GOLD,1.3000000000000043
Aurelion Sol,50.72,0.12,50.19,2.55,1.14,1.0,1.8867924528301847,middle lane,58104,GOLD,0.5300000000000011
Lillia,51.67,-0.01,50.19,3.77,2.27,6.0,4.054054054054043,jungle lane,86105,GOLD,1.480000000000004
Twitch,50.66,0.22,50.19,5.06,7.22,3.0,6.382978723404271,bottom lane,115528,GOLD,0.46999999999999886
Fiddlesticks,50.85,0.37,50.19,2.27,0.94,2.0,3.0303030303030134,jungle lane,51789,GOLD,0.6600000000000037
Malphite,52.08,0.21,50.19,7.12,17.44,16.0,8.465608465608463,top lane,162492,GOLD,1.8900000000000006
Brand,52.38,0.11,50.19,6.98,11.61,17.0,7.762557077625553,support lane,159234,GOLD,2.190000000000005
Miss Fortune,51.35,0.72,50.19,14.10,5.11,17.0,14.655172413793057,bottom lane,321942,GOLD,1.1600000000000037
Tryndamere,51.06,0.3,50.19,3.81,2.89,3.0,3.4482758620689475,top lane,87069,GOLD,0.8700000000000045
Viktor,51.4,-0.15,50.19,5.81,3.15,7.0,5.785123966942145,middle lane,132737,GOLD,1.2100000000000009
Anivia,50.24,-0.21,50.19,2.33,2.24,0.0,0.0,middle lane,53295,GOLD,0.05000000000000426
Shen,50.3,0.16,50.19,3.15,1.07,0.0,0.0,top lane,71884,GOLD,0.10999999999999943
Jhin,49.9,0.03,50.19,16.91,3.48,-5.0,-17.24137931034488,bottom lane,386003,GOLD,-0.28999999999999915
Gangplank,50.18,0.04,50.19,3.78,2.89,0.0,0.0,top lane,86250,GOLD,-0.00999999999999801
Kog'Maw,52.53,-0.12,50.19,1.44,0.38,3.0,1.2820512820512802,bottom lane,32764,GOLD,2.3400000000000034
Teemo,52.1,0.39,50.19,8.32,14.89,19.0,9.947643979057572,top lane,189948,GOLD,1.9100000000000037
Fizz,51.79,0.11,50.19,6.10,10.14,11.0,6.874999999999994,middle lane,139173,GOLD,1.6000000000000014
Senna,49.87,0.11,50.19,5.10,1.31,-2.0,-6.249999999999995,support lane,116446,GOLD,-0.3200000000000003
Caitlyn,49.77,0.3,50.19,20.89,30.26,-13.0,-30.95238095238135,bottom lane,476926,GOLD,-0.4199999999999946
Rammus,53.56,0.66,50.19,2.63,6.34,9.0,2.6706231454005898,jungle lane,60029,GOLD,3.3700000000000045
Dr. Mundo,51.06,0.41,50.19,3.64,7.33,3.0,3.4482758620689475,top lane,83179,GOLD,0.8700000000000045
Draven,47.77,0.02,50.19,3.54,8.48,-9.0,-3.7190082644628184,bottom lane,80739,GOLD,-2.4199999999999946
Karma,49.33,-0.38,50.19,5.43,4.09,-5.0,-5.813953488372097,support lane,123857,GOLD,-0.8599999999999994
Nilah,53.05,0.0,50.19,1.22,2.27,4.0,1.398601398601399,bottom lane,27853,GOLD,2.8599999999999994
Veigar,52.69,0.62,50.19,6.54,3.46,17.0,6.8,middle lane,149369,GOLD,2.5
Mordekaiser,52.54,0.46,50.19,8.38,15.16,23.0,9.787234042553186,top lane,191233,GOLD,2.3500000000000014
Bel'Veth,49.27,0.55,50.19,1.31,1.13,-1.0,-1.0869565217391368,jungle lane,29966,GOLD,-0.9199999999999946
Karthus,48.51,0.27,50.19,1.26,0.37,-2.0,-1.1904761904761907,jungle lane,28800,GOLD,-1.6799999999999997
Nautilus,49.46,0.39,50.19,9.47,13.40,-8.0,-10.958904109589088,support lane,216209,GOLD,-0.7299999999999969
Xayah,50.67,0.49,50.19,3.02,0.53,1.0,2.083333333333316,bottom lane,69049,GOLD,0.480000000000004
Morgana,51.36,0.72,50.19,8.30,25.84,13.0,11.111111111111095,support lane,189558,GOLD,1.1700000000000017
Lee Sin,48.16,0.13,50.19,10.36,11.70,-24.0,-11.82266009852216,jungle lane,236399,GOLD,-2.030000000000001
Sett,52.03,0.39,50.19,7.15,4.35,14.0,7.608695652173899,top lane,163222,GOLD,1.8400000000000034
Talon,47.91,-0.14,50.19,2.78,1.61,-6.0,-2.63157894736842,jungle lane,63549,GOLD,-2.280000000000001
Ziggs,52.4,0.52,50.19,1.56,0.72,3.0,1.3574660633484157,bottom lane,35508,GOLD,2.210000000000001
Pantheon,49.18,0.61,50.19,3.96,2.28,-4.0,-3.9603960396039684,support lane,90368,GOLD,-1.009999999999998
Syndra,50.14,-0.33,50.19,3.37,2.13,0.0,0.0,middle lane,76894,GOLD,-0.04999999999999716
Lucian,48.28,0.26,50.19,6.80,2.17,-13.0,-6.806282722513101,bottom lane,155228,GOLD,-1.9099999999999966
Yasuo,49.65,0.5,50.19,10.31,20.15,-7.0,-12.962962962962983,middle lane,235368,GOLD,-0.5399999999999991
Ezreal,47.26,-0.12,50.19,16.21,7.04,-51.0,-17.4061433447099,bottom lane,370152,GOLD,-2.9299999999999997
Kled,51.07,-0.01,50.19,1.13,0.74,1.0,1.1363636363636331,top lane,25796,GOLD,0.8800000000000026
Rek'Sai,48.73,-0.11,50.19,0.95,0.58,-1.0,-0.6849315068493147,jungle lane,21783,GOLD,-1.4600000000000009
Yunara,47.3,0.07,50.19,4.44,2.02,-13.0,-4.49826989619377,bottom lane,101425,GOLD,-2.8900000000000006
Bard,49.22,-0.25,50.19,3.14,0.85,-3.0,-3.092783505154643,support lane,71713,GOLD,-0.9699999999999989
Corki,47.59,-0.19,50.19,1.29,0.33,-3.0,-1.1538461538461564,bottom lane,29417,GOLD,-2.5999999999999943
Taric,52.83,-0.3,50.19,0.99,0.22,3.0,1.136363636363636,support lane,22664,GOLD,2.6400000000000006
Braum,50.27,-0.08,50.19,5.61,3.64,0.0,0.0,support lane,128043,GOLD,0.0800000000000054
Ornn,51.3,-0.34,50.19,3.40,0.78,4.0,3.6036036036036054,top lane,77600,GOLD,1.1099999999999994
Amumu,52.33,0.43,50.19,4.27,2.74,9.0,4.205607476635513,jungle lane,97392,GOLD,2.1400000000000006
Kai'Sa,47.74,0.0,50.19,12.89,2.13,-32.0,-13.061224489795942,bottom lane,294216,GOLD,-2.4499999999999957
Qiyana,47.51,0.4,50.19,1.52,0.47,-4.0,-1.492537313432836,middle lane,34754,GOLD,-2.6799999999999997
Pyke,49.14,0.57,50.19,5.73,14.06,-7.0,-6.666666666666685,support lane,130817,GOLD,-1.0499999999999972
Urgot,50.9,0.04,50.19,2.64,1.43,2.0,2.816901408450701,top lane,60198,GOLD,0.7100000000000009
Malzahar,52.23,0.19,50.19,10.51,19.68,27.0,13.235294117647065,middle lane,239996,GOLD,2.039999999999999
Vi,50.2,0.16,50.19,5.11,1.13,0.0,0.0,jungle lane,116752,GOLD,0.010000000000005116
Aphelios,49.7,0.07,50.19,3.36,1.84,-2.0,-4.081632653061267,bottom lane,76692,GOLD,-0.4899999999999949
Sivir,49.7,-0.15,50.19,3.30,1.93,-2.0,-4.081632653061267,bottom lane,75432,GOLD,-0.4899999999999949
Nunu & Willump,50.01,0.63,50.19,1.83,0.45,0.0,0.0,jungle lane,41788,GOLD,-0.17999999999999972
Poppy,50.83,0.29,50.19,1.53,1.23,1.0,1.5624999999999987,support lane,34829,GOLD,0.6400000000000006
Skarner,47.27,0.4,50.19,0.62,0.18,-2.0,-0.6849315068493164,jungle lane,14162,GOLD,-2.9199999999999946
Yorick,51.49,0.28,50.19,5.87,13.63,9.0,6.9230769230769,top lane,134007,GOLD,1.3000000000000043
Varus,47.07,0.25,50.19,3.88,2.43,-12.0,-3.8461538461538494,bottom lane,88468,GOLD,-3.1199999999999974
Lulu,49.26,-0.25,50.19,6.31,5.40,-6.0,-6.451612903225809,support lane,144076,GOLD,-0.9299999999999997
Tristana,48.79,0.61,50.19,4.92,2.06,-7.0,-5.000000000000005,bottom lane,112274,GOLD,-1.3999999999999986
Illaoi,51.57,0.4,50.19,3.49,8.53,5.0,3.623188405797095,top lane,79596,GOLD,1.3800000000000026
Ambessa,47.6,-0.15,50.19,2.16,4.97,-6.0,-2.31660231660232,jungle lane,49357,GOLD,-2.5899999999999963
Shaco,49.33,0.22,50.19,6.65,29.43,-8.0,-9.302325581395355,jungle lane,151871,GOLD,-0.8599999999999994
Maokai,50.86,0.3,50.19,1.98,0.27,1.0,1.492537313432832,support lane,45253,GOLD,0.6700000000000017
Vex,50.97,0.37,50.19,3.42,4.01,3.0,3.8461538461538405,middle lane,78128,GOLD,0.7800000000000011
Wukong,50.53,0.42,50.19,2.09,0.44,1.0,2.9411764705882057,jungle lane,47645,GOLD,0.3400000000000034
Riven,47.89,0.55,50.19,2.57,0.88,-6.0,-2.608695652173916,top lane,58685,GOLD,-2.299999999999997
Zeri,47.5,0.26,50.19,1.78,0.24,-5.0,-1.8587360594795554,bottom lane,40706,GOLD,-2.6899999999999977
Sylas,49.01,0.38,50.19,6.15,10.95,-8.0,-6.779661016949154,middle lane,140354,GOLD,-1.1799999999999997
Kha'Zix,47.72,0.06,50.19,4.23,2.27,-11.0,-4.45344129554656,jungle lane,96478,GOLD,-2.469999999999999
Renata Glasc,51.1,0.17,50.19,0.69,0.15,1.0,1.0989010989010943,support lane,15809,GOLD,0.9100000000000037
Hwei,50.25,-0.08,50.19,2.93,1.44,0.0,0.0,middle lane,66990,GOLD,0.060000000000002274
Nidalee,45.59,0.62,50.19,1.17,0.35,-5.0,-1.0869565217391317,jungle lane,26634,GOLD,-4.599999999999994
Akali,49.0,0.44,50.19,7.73,17.30,-11.0,-9.243697478991614,middle lane,176433,GOLD,-1.1899999999999977
Kalista,46.36,0.82,50.19,1.16,0.29,-4.0,-1.0443864229765019,bottom lane,26540,GOLD,-3.8299999999999983
Twisted Fate,49.55,-0.19,50.19,3.03,0.41,-2.0,-3.1249999999999973,middle lane,69121,GOLD,-0.6400000000000006
Hecarim,46.02,0.66,50.19,2.18,0.83,-9.0,-2.158273381294967,jungle lane,49721,GOLD,-4.169999999999995
Annie,50.9,0.19,50.19,2.72,0.91,2.0,2.816901408450701,middle lane,61986,GOLD,0.7100000000000009
Rengar,45.13,-0.19,50.19,2.81,2.08,-15.0,-2.9644268774703586,jungle lane,64144,GOLD,-5.059999999999995
Katarina,48.62,0.12,50.19,6.29,7.12,-11.0,-7.006369426751591,middle lane,143568,GOLD,-1.5700000000000003
Aatrox,49.05,-0.06,50.19,4.79,7.60,-6.0,-5.26315789473684,top lane,109365,GOLD,-1.1400000000000006
Rakan,49.52,0.37,50.19,2.08,0.26,-1.0,-1.492537313432848,support lane,47456,GOLD,-0.6699999999999946
Elise,49.01,-0.2,50.19,1.24,0.58,-1.0,-0.8474576271186443,jungle lane,28402,GOLD,-1.1799999999999997
Volibear,50.69,0.19,50.19,4.28,4.03,2.0,4.0,top lane,97737,GOLD,0.5
Renekton,50.11,0.24,50.19,4.71,2.94,0.0,0.0,top lane,107633,GOLD,-0.0799999999999983
Heimerdinger,50.47,0.67,50.19,1.72,3.93,1.0,3.571428571428557,top lane,39174,GOLD,0.28000000000000114
Zac,49.6,0.06,50.19,1.93,0.64,-1.0,-1.6949152542372987,jungle lane,44020,GOLD,-0.5899999999999963
Darius,48.52,0.42,50.19,8.35,17.01,-17.0,-10.179640718562908,top lane,190626,GOLD,-1.6699999999999946
LeBlanc,48.56,0.12,50.19,3.86,12.46,-7.0,-4.294478527607374,middle lane,88103,GOLD,-1.6299999999999955
Sejuani,50.14,0.14,50.19,2.09,0.25,0.0,0.0,jungle lane,47751,GOLD,-0.04999999999999716
Jayce,47.22,0.06,50.19,2.56,1.84,-8.0,-2.6936026936026947,top lane,58547,GOLD,-2.969999999999999
Orianna,46.95,-0.07,50.19,2.86,0.57,-9.0,-2.777777777777782,middle lane,65307,GOLD,-3.239999999999995
Udyr,49.45,0.15,50.19,1.79,0.65,-1.0,-1.3513513513513606,jungle lane,40761,GOLD,-0.7399999999999949
Neeko,48.52,0.66,50.19,2.18,1.17,-4.0,-2.395209580838331,support lane,49735,GOLD,-1.6699999999999946
Fiora,49.05,0.23,50.19,2.60,2.51,-3.0,-2.63157894736842,top lane,59386,GOLD,-1.1400000000000006
Kindred,47.89,0.29,50.19,2.45,0.75,-6.0,-2.608695652173916,jungle lane,55845,GOLD,-2.299999999999997
Alistar,49.39,-0.03,50.19,2.81,1.12,-2.0,-2.500000000000009,support lane,64151,GOLD,-0.7999999999999972
Zaahen,49.14,0.2,50.19,2.01,2.83,-2.0,-1.90476190476191,top lane,45835,GOLD,-1.0499999999999972
Nasus,50.03,-0.07,50.19,4.50,5.01,-1.0,-6.250000000000133,top lane,102667,GOLD,-0.1599999999999966
Swain,49.17,0.29,50.19,4.89,5.61,-5.0,-4.9019607843137445,support lane,111573,GOLD,-1.019999999999996
Akshan,48.95,0.08,50.19,1.91,1.42,-2.0,-1.6129032258064582,middle lane,43573,GOLD,-1.2399999999999949
Camille,48.31,0.24,50.19,1.63,0.56,-3.0,-1.5957446808510678,top lane,37241,GOLD,-1.8799999999999955
Evelynn,49.32,-0.18,50.19,2.09,1.60,-2.0,-2.2988505747126506,jungle lane,47709,GOLD,-0.8699999999999974
Zoe,47.63,0.4,50.19,2.59,2.61,-7.0,-2.7343750000000053,middle lane,59137,GOLD,-2.559999999999995
Ivern,48.43,0.32,50.19,0.74,0.25,-1.0,-0.5681818181818188,jungle lane,16833,GOLD,-1.759999999999998
Aurora,48.29,0.19,50.19,2.70,2.07,-5.0,-2.631578947368423,middle lane,61680,GOLD,-1.8999999999999986
Taliyah,46.13,-0.42,50.19,0.80,0.15,-3.0,-0.7389162561576363,middle lane,18371,GOLD,-4.059999999999995
Tahm Kench,49.67,0.23,50.19,3.68,4.99,-2.0,-3.8461538461538756,support lane,84063,GOLD,-0.519999999999996
Gwen,49.04,0.53,50.19,2.15,2.29,-3.0,-2.608695652173916,top lane,49009,GOLD,-1.1499999999999986
Rumble,47.7,0.28,50.19,1.95,0.76,-5.0,-2.0080321285140603,top lane,44491,GOLD,-2.489999999999995
Yuumi,48.64,-0.12,50.19,4.23,3.69,-7.0,-4.516129032258073,support lane,96581,GOLD,-1.5499999999999972
Cassiopeia,48.04,0.36,50.19,1.04,0.88,-2.0,-0.9302325581395355,middle lane,23814,GOLD,-2.1499999999999986
Galio,49.01,0.19,50.19,2.84,1.41,-3.0,-2.542372881355933,middle lane,64787,GOLD,-1.1799999999999997
Cho'Gath,49.57,0.21,50.19,2.74,1.05,-2.0,-3.2258064516129163,top lane,62456,GOLD,-0.6199999999999974
Ryze,47.37,-0.11,50.19,2.36,0.56,-7.0,-2.482269503546099,middle lane,53807,GOLD,-2.8200000000000003
Quinn,48.1,0.58,50.19,1.29,1.18,-3.0,-1.435406698564596,top lane,29441,GOLD,-2.0899999999999963
Kassadin,48.69,-0.12,50.19,1.39,0.87,-2.0,-1.3333333333333333,middle lane,31795,GOLD,-1.5
K'Sante,46.04,0.19,50.19,2.47,1.47,-10.0,-2.409638554216868,top lane,56407,GOLD,-4.149999999999999
Trundle,49.49,0.23,50.19,1.88,0.67,-1.0,-1.4285714285714373,top lane,42911,GOLD,-0.6999999999999957
Kennen,46.72,0.06,50.19,1.84,1.34,-6.0,-1.7291066282420755,top lane,42026,GOLD,-3.469999999999999
Gragas,46.62,-0.29,50.19,1.72,0.40,-6.0,-1.6806722689075628,top lane,39337,GOLD,-3.5700000000000003
Mel,46.5,0.24,50.19,5.17,35.92,-30.0,-8.130081300813012,middle lane,117978,GOLD,-3.6899999999999977
Azir,46.21,0.35,50.19,1.69,0.37,-7.0,-1.7587939698492476,middle lane,38512,GOLD,-3.979999999999997
Gnar,48.1,0.23,50.19,2.92,0.90,-6.0,-2.870813397129192,top lane,66619,GOLD,-2.0899999999999963
Xin Zhao,50.54,-0.42,49.76,7.49,4.57,6.0,7.692307692307681,jungle lane,139715,SILVER,0.7800000000000011
Seraphine,52.46,0.0,49.76,13.29,6.55,38.0,14.074074074074058,support lane,247819,SILVER,2.700000000000003
Smolder,54.18,-0.61,49.76,13.45,8.98,65.0,14.70588235294117,bottom lane,250783,SILVER,4.420000000000002
Naafiri,53.77,-0.33,49.76,5.40,21.60,28.0,6.982543640897747,middle lane,100742,SILVER,4.010000000000005
Xerath,52.25,-0.05,49.76,4.87,11.97,14.0,5.622489959839353,middle lane,90778,SILVER,2.490000000000002
Kayn,50.84,-0.09,49.76,9.94,6.03,11.0,10.185185185185134,jungle lane,185276,SILVER,1.0800000000000054
Jinx,50.47,-0.14,49.76,12.93,5.00,10.0,14.084507042253504,bottom lane,240944,SILVER,0.7100000000000009
Nami,51.21,-0.66,49.76,6.28,1.67,9.0,6.2068965517241255,support lane,117060,SILVER,1.4500000000000028
Soraka,51.6,-0.18,49.76,3.74,2.04,7.0,3.8043478260869494,support lane,69644,SILVER,1.8400000000000034
Singed,52.52,-0.84,49.76,2.23,1.08,6.0,2.1739130434782568,top lane,41481,SILVER,2.760000000000005
Vladimir,50.52,-0.77,49.76,3.02,3.08,2.0,2.6315789473684035,middle lane,56228,SILVER,0.7600000000000051
Shyvana,53.59,-0.46,49.76,7.65,9.80,32.0,8.355091383811999,jungle lane,142551,SILVER,3.8300000000000054
Master Yi,50.2,0.14,49.76,11.37,21.47,6.0,13.636363636363487,jungle lane,211918,SILVER,0.44000000000000483
Yone,50.8,0.43,49.76,8.91,8.49,10.0,9.615384615384624,middle lane,166130,SILVER,1.0399999999999991
Milio,51.77,-0.46,49.76,3.82,2.11,8.0,3.980099502487552,support lane,71212,SILVER,2.010000000000005
Irelia,50.15,0.07,49.76,3.58,10.46,2.0,5.128205128205121,top lane,66662,SILVER,0.39000000000000057
Rell,51.22,-0.08,49.76,2.30,0.79,3.0,2.054794520547944,support lane,42954,SILVER,1.4600000000000009
Garen,52.24,-0.1,49.76,10.52,10.29,29.0,11.693548387096756,top lane,196165,SILVER,2.480000000000004
Lux,50.43,0.05,49.76,16.05,18.53,13.0,19.402985074626816,support lane,299217,SILVER,0.6700000000000017
Viego,49.95,-0.16,49.76,9.90,9.57,2.0,10.526315789473417,jungle lane,184640,SILVER,0.19000000000000483
Sion,51.5,-0.42,49.76,3.53,1.29,6.0,3.4482758620689618,top lane,65732,SILVER,1.740000000000002
Sona,51.54,-0.4,49.76,2.79,0.29,5.0,2.8089887640449422,support lane,52100,SILVER,1.7800000000000011
Nocturne,51.99,-0.23,49.76,9.37,15.16,25.0,11.210762331838545,jungle lane,174738,SILVER,2.230000000000004
Aurelion Sol,50.98,-0.59,49.76,2.49,1.15,3.0,2.4590163934426252,middle lane,46375,SILVER,1.2199999999999989
Ashe,50.5,-0.33,49.76,16.29,9.24,13.0,17.56756756756752,bottom lane,303622,SILVER,0.740000000000002
Vel'Koz,51.3,-0.07,49.76,3.29,1.74,5.0,3.2467532467532485,support lane,61266,SILVER,1.5399999999999991
Olaf,50.14,0.41,49.76,2.21,1.75,1.0,2.6315789473684035,top lane,41163,SILVER,0.38000000000000256
Zyra,51.18,-0.31,49.76,4.60,4.49,7.0,4.929577464788727,support lane,85698,SILVER,1.4200000000000017
Briar,52.76,-0.27,49.76,6.36,14.91,22.0,7.333333333333333,jungle lane,118528,SILVER,3.0
Leona,51.05,-0.47,49.76,8.40,10.12,12.0,9.302325581395355,support lane,156681,SILVER,1.2899999999999991
Samira,50.42,-0.29,49.76,6.20,12.92,5.0,7.5757575757575335,bottom lane,115531,SILVER,0.6600000000000037
Kayle,50.87,-0.04,49.76,3.44,2.56,4.0,3.6036036036036054,top lane,64156,SILVER,1.1099999999999994
Janna,50.51,0.17,49.76,1.22,0.17,1.0,1.3333333333333333,support lane,22719,SILVER,0.75
Warwick,52.58,0.39,49.76,8.16,8.18,25.0,8.865248226950353,jungle lane,152152,SILVER,2.8200000000000003
Dr. Mundo,51.12,-0.24,49.76,4.13,8.04,6.0,4.411764705882355,top lane,77053,SILVER,1.3599999999999994
Diana,50.74,0.03,49.76,4.31,5.59,4.0,4.081632653061208,middle lane,80354,SILVER,0.980000000000004
Brand,52.59,-0.48,49.76,7.19,12.06,23.0,8.127208480565356,support lane,134095,SILVER,2.8300000000000054
Lissandra,50.11,-0.62,49.76,2.93,1.73,1.0,2.8571428571428457,middle lane,54666,SILVER,0.3500000000000014
Lillia,51.91,-0.17,49.76,3.70,2.22,8.0,3.720930232558142,jungle lane,69049,SILVER,2.1499999999999986
Miss Fortune,51.38,0.17,49.76,18.73,8.18,33.0,20.370370370370313,bottom lane,349070,SILVER,1.6200000000000045
